Unnamed: 0,BrandName,ProductName,Price,ProductRating,Reviews
0,SPARX,Men's Ss 453 Sport Sandal,716,4.0,38000.0
1,SPARX,Men's Ss 101 Sport Sandal,643,4.2,25500.0
2,SPARX,Men's Ss 119 Sport Sandal,529,4.0,8200.0
3,Hush Puppies,Hush Puppies Men's Slip-on Fisherman Sandal,1799,4.1,3100.0
4,SPARX,Men's Ss 485 Sport Sandal,651,4.1,9300.0
5,SPARX,Men's Ss 105 Sport Sandal,588,4.1,15500.0
6,Bata,Men's Slip-on Fisherman Sandal,490,3.8,1900.0
7,Woodland,Men's Sandals,2188,3.8,1100.0
8,Woodland,Men's Leather Sandal,1957,3.9,1700.0
9,Bata,Men's Slip-on Fisherman Sandal,619,4.0,538.0
10,Bata,Men's Slip-on Sandal,549,4.2,2200.0
11,SPARX,Men Sandal,612,4.1,15900.0
12,SPARX,Men's Sport Sandal,803,4.0,5700.0
13,Centrino,Sandals for Men | Stylish Men’s Casual Sandal for Office & Travel | Comfortable Sandals with Grip Insole & Quality (3263),749,3.7,2200.0
14,SPARX,mens Sf0049g Flip-Flops,711,4.0,5500.0
15,SPARX,Men Sandal,499,4.1,14000.0
16,Campus,Men Gc-22106 Sports Sandals,849,4.1,741.0
17,Power,Men's Velcro Sandal,491,3.8,502.0
18,SPARX,Men Buckle Sandal,1019,4.2,664.0
19,Woodland,Men's Leather Sandal,2028,4.0,303.0
20,Bata,Men's Slip-on Sandal,721,3.9,2000.0
21,adidas,Men's Yanet M Sandal,1609,3.9,102.0
22,adidas,Men Bentton Ii Sport Sandal,1534,3.6,95.0
23,Bata,Men's Sandals,399,3.6,524.0
24,Bata,Men's Slip-on Sandal,1169,3.8,496.0
25,SPARX,Men Sandal,660,4.1,14200.0
26,SPARX,Men's Ss 502 Sport Sandal,934,4.0,18500.0
27,Bata,Men's Slip-on Sandal,566,4.0,1500.0
28,Woodland,Men Comt Floaters Brown,2280,4.0,3200.0
29,adidas,Men Nu Gladi M Sandal,2319,4.3,526.0
30,Centrino,"Sandals for Men | Berkin-Style Slip-On Casual Sandal with Open Toe Design | Comfortable PU Footbed, Arch Support & Lightweight On-Grip Sole for Outdoor Wear (7313)",849,3.8,1200.0
31,Campus,Men's GC-09A Outdoor Sandals,1039,4.5,14.0
32,Woodland,Men Olive Green Floater Sandals,1797,3.9,1700.0
33,Bata,Men's Slip-on Fisherman Sandal,991,3.6,5300.0
34,Woodland,Men Camel Slipper,1978,4.0,1700.0
35,Mochi,Men's Strappy Faux Leather Comfort Stylish Sandals,1075,4.0,259.0
36,Bata,Women's Block Heel Sandal,572,4.1,1200.0
37,Woodland,Men Khaki Sandal,1957,4.1,875.0
38,Shoetopia,Women’s Comfort Sandals | Lightweight Orthopedic Wedge Sandals with Adjustable Straps & Cushioned Sole for Casual Daily Footwear,684,3.9,178.0
39,Woodland,Men Camel Back Strap Floater Sandals,2277,4.0,304.0
40,Woodland,Men's Leather Sandal,2219,3.8,1100.0
41,Bata,Women's Wedge Heel Sandal,934,4.0,2100.0
42,SPARX,"mens SS 101 | Latest, Daily Use, Stylish Floaters | Black Sport Sandal - 8 UK (SS 101)",679,4.1,121.0
43,SPARX,Men's SFG 547 Sport Sandal,721,3.8,2400.0
44,Vendoz,Women Casual Cream Wedges Sandal,449,3.7,393.0
